product_id,product_name,price,category
P294857,Chocolat Noir 70% Madagascar,12.50,confiserie
P946283,Coffret Découverte Thés Rares,35.00,luxe
P183752,Huile d'Olive Extra Vierge Bio,22.80,divers
P659104,Confiture Artisanale Abricot,10.90,confiserie
P835027,Vin Rouge Bordeaux Supérieur 2018,28.50,vin
P317496,Fromage de Chèvre Affiné,18.20,fromage
P502618,Pâté de Campagne Traditionnel,15.75,charcuterie
P729345,Miel de Lavande de Provence,14.95,divers
P461809,Terrine de Foie Gras de Canard,45.00,luxe
P210573,Assortiment de Macarons,29.99,confiserie
P987654,Jambon Ibérique de Bellota,180.00,charcuterie
P345678,Caviar d'Aquitaine,350.00,luxe
P123456,Champagne Brut Millésimé,85.00,vin
P789012,Truffes Noires du Périgord,95.00,luxe
P234567,Safran en Filaments,48.00,divers
P890123,Huîtres Spéciales de Claire,38.50,divers
P456789,Foie Gras d'Oie Entier,62.00,luxe
P012345,Confiture de Figues Violettes,11.50,confiserie
P567890,Pain d'Épices Artisanal,15.00,confiserie
P901234,Moutarde à l'Ancienne,10.20,divers
P678901,Sel de Guérande,8.90,divers
P135792,Vinaigre de Xérès,19.50,divers
P802469,Olives Vertes de Provence,10.50,divers
P246803,Rillettes de Canard,14.25,charcuterie
P791358,Comté 24 Mois d'Affinage,32.70,fromage
P357914,Roquefort AOP,29.80,fromage
P864205,Chorizo Ibérique,17.90,charcuterie
P409627,Saucisson Sec Artisanal,16.00,charcuterie
P915836,Brie de Meaux AOP,21.50,fromage
P572049,Munster Fermier AOP,24.30,fromage
P183957,Vin Blanc Alsace Riesling,25.75,vin
P624078,Vin Rouge Bourgogne Pinot Noir,42.00,vin
P295186,Vin Rosé Côtes de Provence,18.90,vin
P736294,Beaujolais Villages Nouveau,16.50,vin
P307415,Chablis Premier Cru,39.20,vin
P848523,Saint-Émilion Grand Cru,55.00,vin
P419631,Côtes du Rhône Villages,20.80,vin
P950748,Crémant de Loire Brut,23.50,vin
P521856,Bière Artisanale Ambrée,12.80,divers
P192964,Eau de Vie de Poire Williams,48.50,divers
P633087,Liqueur de Chartreuse Verte,52.00,divers
P204195,Sirop d'Érable Bio,13.75,divers
P745306,Fleur de Sel de Camargue,9.80,divers
P316414,Piment d'Espelette AOP,17.20,divers
P857522,Épices pour Paella,11.90,divers
P428639,Herbes de Provence Label Rouge,8.50,divers
P969747,Thé Vert Sencha Bio,16.80,divers
P530855,Café Arabica Bio en Grains,21.20,divers
P101963,Infusion Verveine Menthe,10.50,divers
P642071,Chocolat au Lait Caramel Beurre Salé,11.95,confiserie
P213189,Nougat de Montélimar,14.50,confiserie
P754297,Calissons d'Aix,19.20,confiserie
P325405,Caramels au Beurre Salé de Guérande,12.75,confiserie
P866513,Pâtes de Fruits Assorties,15.90,confiserie
P437621,Marrons Glacés,32.00,luxe
P978738,Biscuits Roses de Reims,9.80,confiserie
P549846,Madeleines Pur Beurre,13.50,confiserie
P110954,Sablés Bretons,10.25,confiserie
P651062,Croquants aux Amandes,11.70,confiserie
P222179,Navettes de Marseille,14.00,confiserie
P763287,Canelés de Bordeaux,18.50,confiserie
P334395,Cidre Bouché Brut de Normandie,15.80,divers
